일자,종가,시가총액,상장주식수,PER
2018-01-02,2551000,3.29E+14,129098494,6.42
2018-01-03,2581000,3.33E+14,129098494,6.42
2018-01-04,2554000,3.30E+14,129098494,6.42
2018-01-05,2606000,3.36E+14,129098494,6.42
2018-01-08,2601000,3.36E+14,129098494,6.42
2018-01-09,2520000,3.25E+14,129098494,6.42
2018-01-10,2442000,3.15E+14,129098494,6.42
2018-01-11,2412000,3.11E+14,129098494,6.42
2018-01-12,2410000,3.11E+14,129098494,6.42
2018-01-15,2427000,3.13E+14,129098494,6.42
2018-01-16,2500000,3.23E+14,129098494,6.42
2018-01-17,2481000,3.20E+14,129098494,6.42
2018-01-18,2495000,3.22E+14,129098494,6.42
2018-01-19,2466000,3.18E+14,129098494,6.42
2018-01-22,2412000,3.11E+14,129098494,6.42
2018-01-23,2458000,3.17E+14,129098494,6.42
2018-01-24,2467000,3.18E+14,129098494,6.42
2018-01-25,2513000,3.24E+14,129098494,6.42
2018-01-26,2539000,3.28E+14,129098494,6.42
2018-01-29,2561000,3.31E+14,129098494,6.42
2018-01-30,2490000,3.21E+14,129098494,6.42
2018-01-31,2495000,3.22E+14,129098494,6.42
2018-02-01,2491000,3.22E+14,129098494,6.42
2018-02-02,2385000,3.08E+14,129098494,6.42
2018-02-05,2396000,3.09E+14,129098494,6.42
2018-02-06,2371000,3.06E+14,129098494,6.42
2018-02-07,2290000,2.96E+14,129098494,6.42
2018-02-08,2300000,2.95E+14,128386494,6.42
2018-02-09,2235000,2.87E+14,128386494,6.42
2018-02-12,2286000,2.93E+14,128386494,6.42
2018-02-13,2377000,3.05E+14,128386494,6.42
2018-02-14,2450000,3.15E+14,128386494,6.42
2018-02-19,2419000,3.11E+14,128386494,6.42
2018-02-20,2370000,3.04E+14,128386494,6.42
2018-02-21,2364000,3.04E+14,128386494,6.42
2018-02-22,2338000,3.00E+14,128386494,6.42
2018-02-23,2361000,3.03E+14,128386494,6.42
2018-02-26,2369000,3.04E+14,128386494,6.42
2018-02-27,2369000,3.04E+14,128386494,6.42
2018-02-28,2353000,3.02E+14,128386494,6.42
2018-03-02,2301000,2.95E+14,128386494,6.42
2018-03-05,2260000,2.90E+14,128386494,6.42
2018-03-06,2351000,3.02E+14,128386494,6.42
2018-03-07,2431000,3.12E+14,128386494,6.42
2018-03-08,2460000,3.16E+14,128386494,6.42
2018-03-09,2487000,3.19E+14,128386494,6.42
2018-03-12,2487000,3.19E+14,128386494,6.42
2018-03-13,2583000,3.32E+14,128386494,6.42
2018-03-14,2588000,3.32E+14,128386494,6.42
2018-03-15,2577000,3.31E+14,128386494,6.42
2018-03-16,2557000,3.28E+14,128386494,6.42
2018-03-19,2537000,3.26E+14,128386494,6.42
2018-03-20,2560000,3.29E+14,128386494,6.42
2018-03-21,2553000,3.28E+14,128386494,6.42
2018-03-22,2589000,3.32E+14,128386494,6.42
2018-03-23,2486000,3.19E+14,128386494,6.42
2018-03-26,2514000,3.23E+14,128386494,6.42
2018-03-27,2499000,3.21E+14,128386494,6.42
2018-03-28,2435000,3.13E+14,128386494,6.42
2018-03-29,2452000,3.15E+14,128386494,6.42
2018-03-30,2461000,3.16E+14,128386494,6.42
2018-04-02,2427000,3.12E+14,128386494,6.42
2018-04-03,2406000,3.09E+14,128386494,6.42
2018-04-04,2346000,3.01E+14,128386494,6.42
2018-04-05,2437000,3.13E+14,128386494,6.42
2018-04-06,2420000,3.11E+14,128386494,6.42
2018-04-09,2460000,3.16E+14,128386494,6.42
2018-04-10,2444000,3.14E+14,128386494,6.42
2018-04-11,2443000,3.14E+14,128386494,6.42
2018-04-12,2450000,3.15E+14,128386494,6.42
2018-04-13,2490000,3.20E+14,128386494,6.42
2018-04-16,2517000,3.23E+14,128386494,6.42
2018-04-17,2499000,3.21E+14,128386494,6.42
2018-04-18,2568000,3.30E+14,128386494,6.42
2018-04-19,2639000,3.39E+14,128386494,6.42
2018-04-20,2581000,3.31E+14,128386494,6.42
2018-04-23,2595000,3.33E+14,128386494,6.42
2018-04-24,2523000,3.24E+14,128386494,6.42
2018-04-25,2520000,3.24E+14,128386494,6.42
2018-04-26,2607000,3.35E+14,128386494,6.42
2018-04-27,2650000,3.40E+14,128386494,6.42
2018-04-30,2650000,3.40E+14,128386494,6.42
2018-05-02,2650000,3.40E+14,128386494,6.42
2018-05-03,2650000,3.40E+14,128386494,6.42
2018-05-04,51900,3.33E+14,6419324700,6.42
2018-05-08,52600,3.38E+14,6419324700,6.42
2018-05-09,50900,3.27E+14,6419324700,6.42
2018-05-10,51600,3.31E+14,6419324700,6.42
2018-05-11,51300,3.29E+14,6419324700,6.42
2018-05-14,50100,3.22E+14,6419324700,6.42
2018-05-15,49200,3.16E+14,6419324700,6.42
2018-05-16,49850,3.20E+14,6419324700,6.42
2018-05-17,49400,3.17E+14,6419324700,6.42
2018-05-18,49500,3.18E+14,6419324700,6.42
2018-05-21,50000,3.21E+14,6419324700,6.42
2018-05-23,51800,3.33E+14,6419324700,6.42
2018-05-24,51400,3.30E+14,6419324700,6.42
2018-05-25,52700,3.38E+14,6419324700,6.42
2018-05-28,52300,3.36E+14,6419324700,6.42
2018-05-29,51300,3.29E+14,6419324700,6.42
2018-05-30,49500,3.18E+14,6419324700,6.42
2018-05-31,50700,3.25E+14,6419324700,6.42
2018-06-01,51300,3.29E+14,6419324700,6.42
2018-06-04,51100,3.28E+14,6419324700,6.42
2018-06-05,51300,3.29E+14,6419324700,6.42
2018-06-07,50600,3.25E+14,6419324700,6.42
2018-06-08,49650,3.19E+14,6419324700,6.42
2018-06-11,49900,3.20E+14,6419324700,6.42
2018-06-12,49400,3.17E+14,6419324700,6.42
2018-06-14,48200,3.09E+14,6419324700,6.42
